date,confirmed,death
2020-03-31,192079,5359
2020-04-01,227543,6989
2020-04-02,259798,8535
2020-04-03,292201,9971
2020-04-04,323965,11590
2020-04-05,353117,13227
2020-04-06,385110,14989
2020-04-07,415256,17595
2020-04-08,446500,19747
2020-04-09,481981,22003
2020-04-10,516396,24160
2020-04-11,545313,26295
2020-04-12,571551,28203
2020-04-13,598789,30204
2020-04-14,627306,32685
2020-04-15,653345,35284
2020-04-16,682962,37479
2020-04-17,716152,39583
2020-04-18,743464,41521
2020-04-19,768888,43510
2020-04-20,799149,45768
2020-04-21,825478,48245
2020-04-22,855445,50711
2020-04-23,887523,53138
2020-04-24,919014,55201
2020-04-25,949640,56939
2020-04-26,975537,58354
2020-04-27,1000230,59840
2020-04-28,1024834,62072
2020-04-29,1051643,64446
2020-04-30,1081150,66636
2020-05-01,1115972,68516
2020-05-02,1142619,70289
2020-05-03,1166189,71492
2020-05-04,1190240,72862
2020-05-05,1214321,75041
2020-05-06,1238694,77359
2020-05-07,1266904,79262
2020-05-08,1294111,81031
2020-05-09,1318358,82502
2020-05-10,1337061,83503
2020-05-11,1356283,84529
2020-05-12,1379661,86119
2020-05-13,1399662,87814
2020-05-14,1425539,89579
2020-05-15,1449938,91205
2020-05-16,1473806,92374
2020-05-17,1492449,93190
2020-05-18,1514833,94412
2020-05-19,1535591,95840
2020-05-20,1558430,97309
2020-05-21,1583542,98491
2020-05-22,1607464,99695
2020-05-23,1627392,100773
2020-05-24,1647513,101410
2020-05-25,1666699,102010
2020-05-26,1685395,102663
2020-05-27,1704200,104115
2020-05-28,1725329,105180
2020-05-29,1750066,106289
2020-05-30,1772783,107236
2020-05-31,1791547,107857
2020-06-01,1809384,108624
2020-06-02,1829340,109603
2020-06-03,1848388,110603
2020-06-04,1876099,111601
2020-06-05,1902280,112470
2020-06-06,1922433,113108
2020-06-07,1940242,113568
2020-06-08,1957154,114070
2020-06-09,1977478,114979
2020-06-10,1999224,115836
2020-06-11,2021527,116643
2020-06-12,2047082,117466
2020-06-13,2071218,118174
2020-06-14,2090171,118522
2020-06-15,2111266,118920
2020-06-16,2135894,119695
2020-06-17,2162973,120436
2020-06-18,2191211,121133
2020-06-19,2222207,121760
2020-06-20,2254073,122323
2020-06-21,2279932,122642
2020-06-22,2309921,123021
2020-06-23,2348750,123751
2020-06-24,2385029,124506
2020-06-25,2424386,125058
2020-06-26,2473472,125688
2020-06-27,2514305,126188
2020-06-28,2557223,126512
2020-06-29,2598741,126881
2020-06-30,2648797,127432
2020-07-01,2698127,128134
2020-07-02,2753211,128883
2020-07-03,2804869,129561
2020-07-04,2850893,129872
2020-07-05,2904843,130201
2020-07-06,2948475,130582
2020-07-07,3005888,131723
2020-07-08,3066392,132562
2020-07-09,3126225,133601
2020-07-10,3194747,134407
2020-07-11,3255188,135167
2020-07-12,3315408,135640
2020-07-13,3375033,136084
2020-07-14,3440790,136988
2020-07-15,3507089,137942
2020-07-16,3577863,138921
2020-07-17,3644285,139844
2020-07-18,3708610,140733
2020-07-19,3767603,141215
2020-07-20,3828459,141750
2020-07-21,3896754,142845
2020-07-22,3964204,144066
2020-07-23,4031971,145139
2020-07-24,4106920,146232
2020-07-25,4170675,147196
2020-07-26,4226306,147744
2020-07-27,4286303,148848
2020-07-28,4350867,150063
2020-07-29,4414919,151495
2020-07-30,4484123,152808
2020-07-31,4548498,153969
2020-08-01,4605922,155090
2020-08-02,4652811,155566
2020-08-03,4694707,156127
2020-08-04,4756328,157375
2020-08-05,4810465,158790
2020-08-06,4870501,159971
2020-08-07,4930942,161266
2020-08-08,4994709,162356
2020-08-09,5048872,162937
2020-08-10,5100509,163465
2020-08-11,5157385,164545
2020-08-12,5212607,166049
2020-08-13,5264053,167077
2020-08-14,5334125,168380
2020-08-15,5386450,169423
2020-08-16,5421027,170034
2020-08-17,5459024,170513
2020-08-18,5503999,171742
2020-08-19,5549914,172421
2020-08-20,5595049,173519
2020-08-21,5642949,174616
2020-08-22,5688220,175578
2020-08-23,5720123,176080
2020-08-24,5754214,176511
2020-08-25,5796776,177729
2020-08-26,5838968,178882
2020-08-27,5889405,179990
2020-08-28,5935725,180906
2020-08-29,5978796,181869
2020-08-30,6012964,182309
2020-08-31,6046490,182794
